station_id,date,element,value,m_flag,q_flag,s_flag
US009052008,2008-08,TMAX,203,,,C
US009052008,2008-09,TMAX,130,,,C
US009052008,2008-10,TMAX,241,,,C
US009052008,2008-11,TMAX,175,,,C
US009052008,2008-12,TMAX,213,,,C
US009052008,2008-13,TMAX,108,,,C
US009052008,2008-14,TMAX,134,,,C
US009052008,2008-15,TMAX,117,,,C
US009052008,2008-16,TMAX,130,,,C
US009052008,2008-17,TMAX,89,,,C
US009052008,2008-18,TMAX,149,,,C
US009052008,2008-19,TMAX,207,,,C
US009052008,2008-20,TMAX,141,,,C
US009052008,2008-21,TMAX,61,,,C
US009052008,2008-22,TMAX,50,,,C
US009052008,2008-23,TMAX,54,,,C
US009052008,2008-24,TMAX,83,,,C
US009052008,2008-25,TMAX,166,,,C
US009052008,2008-26,TMAX,74,,,C
US009052008,2008-27,TMAX,38,,,C
US009052008,2008-28,TMAX,125,,,C
US009052008,2008-29,TMAX,170,,,C
US009052008,2008-30,TMAX,200,,,C
US009052008,2008-31,TMAX,170,,,C
US009052008,2008-08,TMIN,32,,,C
US009052008,2008-09,TMIN,32,,,C
US009052008,2008-10,TMIN,86,,,C
US009052008,2008-11,TMIN,116,,,C
US009052008,2008-12,TMIN,92,,,C
US009052008,2008-13,TMIN,29,,,C
US009052008,2008-14,TMIN,-6,,,C
US009052008,2008-15,TMIN,17,,,C
US009052008,2008-16,TMIN,-30,,,C
US009052008,2008-17,TMIN,20,,,C
US009052008,2008-18,TMIN,15,,,C
US009052008,2008-19,TMIN,72,,,C
US009052008,2008-20,TMIN,19,,,C
US009052008,2008-21,TMIN,14,,,C
US009052008,2008-22,TMIN,21,,,C
US009052008,2008-23,TMIN,25,,,C
US009052008,2008-24,TMIN,26,,,C
US009052008,2008-25,TMIN,-3,,,C
US009052008,2008-26,TMIN,-16,,,C
US009052008,2008-27,TMIN,-44,,,C
US009052008,2008-28,TMIN,-55,,,C
US009052008,2008-29,TMIN,-19,,,C
US009052008,2008-30,TMIN,28,,,C
US009052008,2008-31,TMIN,30,,,C
US009052008,2008-08,PRCP,0,,,C
US009052008,2008-09,PRCP,0,,,C
US009052008,2008-10,PRCP,0,,,C
US009052008,2008-11,PRCP,10,,,C
US009052008,2008-12,PRCP,66,,,C
US009052008,2008-13,PRCP,24,,,C
US009052008,2008-14,PRCP,4,,,C
US009052008,2008-15,PRCP,0,,,C
US009052008,2008-16,PRCP,0,,,C
US009052008,2008-17,PRCP,46,,,C
US009052008,2008-18,PRCP,0,,,C
US009052008,2008-19,PRCP,0,,,C
US009052008,2008-20,PRCP,0,,,C
US009052008,2008-21,PRCP,25,,,C
US009052008,2008-22,PRCP,456,,,C
US009052008,2008-23,PRCP,62,,,C
US009052008,2008-24,PRCP,16,,,C
US009052008,2008-25,PRCP,0,,,C
US009052008,2008-26,PRCP,0,,,C
US009052008,2008-27,PRCP,0,,,C
US009052008,2008-28,PRCP,8,,,C
US009052008,2008-29,PRCP,0,,,C
US009052008,2008-30,PRCP,0,,,C
US009052008,2008-31,PRCP,0,,,C
US009052008,2008-01,TMAX,182,,,C
US009052008,2008-02,TMAX,212,,,C
US009052008,2008-03,TMAX,221,,,C
US009052008,2008-04,TMAX,208,,,C
US009052008,2008-05,TMAX,197,,,C
US009052008,2008-06,TMAX,73,,,C
US009052008,2008-07,TMAX,8,,,C
US009052008,2008-08,TMAX,-23,,,C
US009052008,2008-09,TMAX,-47,,,C
US009052008,2008-10,TMAX,-33,,,C
US009052008,2008-11,TMAX,3,,,C
US009052008,2008-12,TMAX,17,,,C
US009052008,2008-13,TMAX,75,,,C
US009052008,2008-14,TMAX,53,,,C
US009052008,2008-15,TMAX,15,,,C
US009052008,2008-16,TMAX,40,,,C
US009052008,2008-17,TMAX,13,,,C
US009052008,2008-18,TMAX,28,,,C
US009052008,2008-19,TMAX,57,,,C
US009052008,2008-20,TMAX,-26,,,C
US009052008,2008-21,TMAX,-24,,,C
US009052008,2008-22,TMAX,-5,,,C
US009052008,2008-23,TMAX,45,,,C
US009052008,2008-24,TMAX,33,,,C
US009052008,2008-25,TMAX,51,,,C
US009052008,2008-26,TMAX,87,,,C
US009052008,2008-27,TMAX,54,,,C
US009052008,2008-28,TMAX,72,,,C
US009052008,2008-29,TMAX,42,,,C
US009052008,2008-30,TMAX,2,,,C
US009052008,2008-01,TMIN,0,,,C
US009052008,2008-02,TMIN,52,,,C
US009052008,2008-03,TMIN,90,,,C
US009052008,2008-04,TMIN,55,,,C
US009052008,2008-05,TMIN,40,,,C
US009052008,2008-06,TMIN,-25,,,C
US009052008,2008-07,TMIN,-26,,,C
US009052008,2008-08,TMIN,-47,,,C
US009052008,2008-09,TMIN,-82,,,C
US009052008,2008-10,TMIN,-91,,,C
US009052008,2008-11,TMIN,-34,,,C
US009052008,2008-12,TMIN,-3,,,C
US009052008,2008-13,TMIN,16,,,C
US009052008,2008-14,TMIN,-30,,,C
US009052008,2008-15,TMIN,-40,,,C
US009052008,2008-16,TMIN,-27,,,C
US009052008,2008-17,TMIN,-81,,,C
US009052008,2008-18,TMIN,-92,,,C
US009052008,2008-19,TMIN,-39,,,C
US009052008,2008-20,TMIN,-148,,,C
US009052008,2008-21,TMIN,-162,,,C
US009052008,2008-22,TMIN,-32,,,C
US009052008,2008-23,TMIN,-61,,,C
US009052008,2008-24,TMIN,-67,,,C
US009052008,2008-25,TMIN,-99,,,C
US009052008,2008-26,TMIN,-64,,,C
US009052008,2008-27,TMIN,-46,,,C
US009052008,2008-28,TMIN,-89,,,C
US009052008,2008-29,TMIN,-64,,,C
US009052008,2008-30,TMIN,-65,,,C
US009052008,2008-01,PRCP,0,,,C
US009052008,2008-02,PRCP,0,,,C
US009052008,2008-03,PRCP,0,,,C
US009052008,2008-04,PRCP,0,,,C
US009052008,2008-05,PRCP,0,,,C
US009052008,2008-06,PRCP,6,,,C
US009052008,2008-07,PRCP,15,,,C
US009052008,2008-08,PRCP,0,,,C
US009052008,2008-09,PRCP,0,,,C
US009052008,2008-10,PRCP,0,,,C
US009052008,2008-11,PRCP,58,,,C
US009052008,2008-12,PRCP,3,,,C
US009052008,2008-13,PRCP,85,,,C
US009052008,2008-14,PRCP,3,,,C
US009052008,2008-15,PRCP,0,,,C
US009052008,2008-16,PRCP,0,,,C
US009052008,2008-17,PRCP,0,,,C
US009052008,2008-18,PRCP,0,,,C
US009052008,2008-19,PRCP,0,,,C
US009052008,2008-20,PRCP,0,,,C
US009052008,2008-21,PRCP,0,,,C
US009052008,2008-22,PRCP,15,,,C
US009052008,2008-23,PRCP,3,,,C
US009052008,2008-24,PRCP,4,,,C
US009052008,2008-25,PRCP,3,,,C
US009052008,2008-26,PRCP,0,,,C
US009052008,2008-27,PRCP,0,,,C
US009052008,2008-28,PRCP,9,,,C
US009052008,2008-29,PRCP,3,,,C
US009052008,2008-30,PRCP,0,,,C
US009052008,2008-01,TMAX,-33,,,C
US009052008,2008-02,TMAX,83,,,C
US009052008,2008-03,TMAX,-25,,,C
US009052008,2008-04,TMAX,-75,,,C
US009052008,2008-05,TMAX,18,,,C
US009052008,2008-06,TMAX,0,,,C
US009052008,2008-07,TMAX,-9,,,C
US009052008,2008-08,TMAX,-13,,,C
US009052008,2008-09,TMAX,-61,,,C
US009052008,2008-10,TMAX,0,,,C
US009052008,2008-11,TMAX,24,,,C
US009052008,2008-12,TMAX,21,,,C
US009052008,2008-13,TMAX,33,,,C
US009052008,2008-14,TMAX,-10,,,C
US009052008,2008-15,TMAX,-214,,,C
US009052008,2008-16,TMAX,-163,,,C
US009052008,2008-17,TMAX,-131,,,C
US009052008,2008-18,TMAX,-70,,,C
US009052008,2008-19,TMAX,-91,,,C
US009052008,2008-20,TMAX,-98,,,C
US009052008,2008-21,TMAX,-187,,,C
US009052008,2008-22,TMAX,-112,,,C
US009052008,2008-23,TMAX,-69,,,C
US009052008,2008-24,TMAX,-144,,,C
US009052008,2008-25,TMAX,-28,,,C
US009052008,2008-26,TMAX,42,,,C
US009052008,2008-27,TMAX,-80,,,C
US009052008,2008-28,TMAX,27,,,C
US009052008,2008-29,TMAX,19,,,C
US009052008,2008-30,TMAX,-52,,,C
US009052008,2008-31,TMAX,-89,,,C
US009052008,2008-01,TMIN,-105,,,C
US009052008,2008-02,TMIN,-98,,,C
US009052008,2008-03,TMIN,-132,,,C
US009052008,2008-04,TMIN,-147,,,C
US009052008,2008-05,TMIN,-171,,,C
US009052008,2008-06,TMIN,-158,,,C
US009052008,2008-07,TMIN,-140,,,C
US009052008,2008-08,TMIN,-77,,,C
US009052008,2008-09,TMIN,-183,,,C
US009052008,2008-10,TMIN,-185,,,C
US009052008,2008-11,TMIN,-77,,,C
US009052008,2008-12,TMIN,-103,,,C
US009052008,2008-13,TMIN,-53,,,C
US009052008,2008-14,TMIN,-225,,,C
US009052008,2008-15,TMIN,-252,,,C
US009052008,2008-16,TMIN,-244,,,C
US009052008,2008-17,TMIN,-250,,,C
US009052008,2008-18,TMIN,-193,,,C
US009052008,2008-19,TMIN,-135,,,C
US009052008,2008-20,TMIN,-223,,,C
US009052008,2008-21,TMIN,-234,,,C
US009052008,2008-22,TMIN,-270,,,C
US009052008,2008-23,TMIN,-180,,,C
US009052008,2008-24,TMIN,-226,,,C
US009052008,2008-25,TMIN,-187,,,C
US009052008,2008-26,TMIN,-80,,,C
US009052008,2008-27,TMIN,-150,,,C
US009052008,2008-28,TMIN,-155,,,C
US009052008,2008-29,TMIN,-70,,,C
US009052008,2008-30,TMIN,-193,,,C
US009052008,2008-31,TMIN,-232,,,C
US009052008,2008-01,PRCP,8,,,C
US009052008,2008-02,PRCP,13,,,C
US009052008,2008-03,PRCP,7,,,C
