station_id,date,element,value,m_flag,q_flag,s_flag
US10adam002,2004-19,PRCP,0,T,,N
US10adam002,2004-20,PRCP,0,,,N
US10adam002,2004-21,PRCP,0,,,N
US10adam002,2004-22,PRCP,0,,,N
US10adam002,2004-23,PRCP,142,,,N
US10adam002,2004-24,PRCP,0,,,N
US10adam002,2004-25,PRCP,0,,,N
US10adam002,2004-26,PRCP,38,,,N
US10adam002,2004-27,PRCP,0,,,N
US10adam002,2004-28,PRCP,0,,,N
US10adam002,2004-29,PRCP,0,,,N
US10adam002,2004-30,PRCP,0,,,N
US10adam002,2004-31,PRCP,0,,,N
US10adam002,2004-19,SNOW,0,,,N
US10adam002,2004-20,SNOW,0,,,N
US10adam002,2004-21,SNOW,0,,,N
US10adam002,2004-22,SNOW,0,,,N
US10adam002,2004-23,SNOW,0,,,N
US10adam002,2004-24,SNOW,0,,,N
US10adam002,2004-25,SNOW,0,,,N
US10adam002,2004-26,SNOW,0,,,N
US10adam002,2004-27,SNOW,0,,,N
US10adam002,2004-28,SNOW,0,,,N
US10adam002,2004-29,SNOW,0,,,N
US10adam002,2004-30,SNOW,0,,,N
US10adam002,2004-31,SNOW,0,,,N
US10adam002,2004-19,SNWD,0,,,N
US10adam002,2004-20,SNWD,0,,,N
US10adam002,2004-21,SNWD,0,,,N
US10adam002,2004-22,SNWD,0,,,N
US10adam002,2004-23,SNWD,0,,,N
US10adam002,2004-24,SNWD,0,,,N
US10adam002,2004-25,SNWD,0,,,N
US10adam002,2004-26,SNWD,0,,,N
US10adam002,2004-27,SNWD,0,,,N
US10adam002,2004-28,SNWD,0,,,N
US10adam002,2004-29,SNWD,0,,,N
US10adam002,2004-30,SNWD,0,,,N
US10adam002,2004-31,SNWD,0,,,N
US10adam002,2004-01,PRCP,13,,,N
US10adam002,2004-02,PRCP,0,,,N
US10adam002,2004-03,PRCP,0,,,N
US10adam002,2004-04,PRCP,0,,,N
US10adam002,2004-05,PRCP,0,,,N
US10adam002,2004-06,PRCP,0,,,N
US10adam002,2004-07,PRCP,0,,,N
US10adam002,2004-08,PRCP,0,,,N
